ID,問題,答え
2,"#2  
point of contact
","point of contact
意味
「連絡窓口」「担当者」「接点」という意味です。
文脈で主に2つあります。

連絡先・担当窓口
ビジネスで最も多い意味です。
Who is the point of contact for this project?
この案件の担当窓口は誰ですか。
接触点・接点
物理的に触れる点、あるいは意見や利害が交わる点です。
We need to identify the points of contact between the two systems.
その2つのシステムの接点を特定する必要がある。

語源
point はラテン語 pungere プンゲレ 「刺す」が語源です。
そこから punctum プンクトゥム 「刺した跡、点」が生まれ、英語 point になりました。
もともとは「先のとがった所」「一点」という感覚です。

of は古英語 of オヴ 「?の、?から」。

contact はラテン語 contingere コンティンゲレ 「触れる、接する」が語源です。
con- コン 「共に」＋ tangere タンゲレ 「触れる」からできています。
そこからラテン語 contactus コンタクトゥス 「接触」を経て英語 contact になりました。

つまり point of contact は、直訳すると
「接触の点」
です。
そこから
「実際に連絡を取る相手」
「物や組織がつながる接点」
という意味になりました。

同じ語源の英語
point と同系統
puncture
punctual
punctuation
pointed

contact と同系統
tangent
tangible
intact
contiguous
touch は別語源ですが意味は近いです

言いかえ
担当窓口の意味なら
contact person
main contact
liaison
です。

補足
ビジネス英語では
single point of contact
という形が非常によく使われます。
意味は「一本化された窓口」「唯一の担当連絡先」です。
"
3,"#3  
mess with 
","mess with は口語表現で「いじる」「干渉する」から転じて「けんかを売る、ちょっかいを出す」の意味です。
"
4,"#4  
address
attend to 
","address a problem ＝ 問題を解決しようとして対処する
attend to a problem ＝ その問題に注意を向けて対応する
"
5,"#5  
have yet to ～
","have yet to ～

意味：
まだ～していない。
まだ～するに至っていない。

形：
have / has yet to + 動詞の原形

例：
We have yet to receive the report.
私たちはまだその報告書を受け取っていない。

The company has yet to announce the results.
その会社はまだ結果を発表していない。

The issue has yet to be resolved.
その問題はまだ解決されていない。

have not ～ yet との違い：
We have not received the report yet.
まだ報告書を受け取っていない。

We have yet to receive the report.
まだ報告書を受け取っていない。
こちらのほうが少し硬く、ビジネス文書・ニュース・TOEIC向きです。「本来はもう済んでいてもよさそうだが、まだ」という感じがあります。

TOEICでよく出る形：
have yet to decide
まだ決定していない

have yet to complete
まだ完了していない

have yet to approve
まだ承認していない

has yet to be finalized
まだ確定されていない

has yet to be determined
まだ決定されていない

注意：
to の後ろは動詞の原形です。

正：
The manager has yet to approve the request.

誤：
The manager has yet to approved the request.
"
6,"#6  
at the request of ～
","at the request of ～ は「～の要請で」「～の依頼により」という意味です。少し硬い表現です。

"
7,"#7  
keep A from ～ing
","keep A from ～ing

意味：
Aが～するのを防ぐ、Aに～させないようにする。

形：
keep + 人・物 + from + 動詞ing

例：
The rain kept us from going outside.
雨のせいで、私たちは外に出られなかった。

This cover keeps dust from entering the machine.
このカバーは、ほこりが機械に入るのを防ぐ。

Heavy traffic kept him from arriving on time.
ひどい渋滞のせいで、彼は時間どおりに到着できなかった。

TOEICで出やすい意味：
「原因・事情が、人や物の行動を妨げる」という意味です。

似た形：
prevent A from ～ing
Aが～するのを防ぐ

stop A from ～ing
Aが～するのを止める

keep A from ～ing
Aが～しないようにする、～するのを妨げる

ニュアンス：
prevent はやや硬め。
stop は普通。
keep は「その状態に保つ」「させない状態にしておく」という感じです。

語源：
keep は古英語 c?pan（ケーパン）「つかむ、保つ、注意する」から来ています。
from は古英語 fram（フラム）「～から、離れて」。
keep A from ～ing は「Aを～することから離れた状態に保つ」→「Aが～するのを防ぐ」という意味です。

同じ語源の英語：
keep：保つ、守る
keeper：管理人、守る人
keeping：保持、管理
keepsake：記念品
from：～から、～を離れて
"
8,"#8  
adhere to
","adhere to は「?に従う」「?を守る」「?にくっつく」という意味です。TOEICでは特に「規則・方針・手順を守る」でよく出ます。
"
9,"#9  
誘いを断る
","「誘いを断る」は英語で decline an invitation が一番きれいです。
"
10,"#10  
on the premises
","on the premises

意味：
敷地内で、施設内で、建物内で。

premises は、この形では「前提」ではなく、「建物・敷地・施設」という意味です。普通は複数形 premises で使います。

例：
Smoking is not allowed on the premises.
敷地内での喫煙は禁止されています。

Visitors must wear ID badges while on the premises.
来訪者は施設内にいる間、IDバッジを着用しなければなりません。

No alcohol may be consumed on the premises.
施設内での飲酒は禁止されています。

TOEICでは、会社・工場・ホテル・学校・イベント会場などの「施設内で」という意味でよく出ます。

注意：
premise 単数形は「前提」という意味で使うことが多いです。
premises 複数形は「敷地、建物、施設」という意味で使うことが多いです。

語源：
premises はラテン語 praemittere（プラエミッテレ）「前に送る、前に述べる」から来ています。
prae-（プラエ）「前に」＋ mittere（ミッテレ）「送る」。

もともとは法律文書で「前に述べられた事項」という意味でした。その後、不動産契約で「前に述べられた土地・建物」を指すようになり、「敷地、建物、施設」という意味になりました。

同じ語源の英語：
premise：前提
premises：敷地、施設
promise：約束する
mission：任務
submit：提出する
transmit：送信する
permit：許可する
admit：認める、入場を許す
"
11,"#11  
It is selling quickly during this holiday season.
","It is selling quickly during this holiday season.

意味：それはこのホリデーシーズン中、よく売れている／急速に売れている。

文法：
It＝その商品
is selling＝売れている。ここでは sell が自動詞で、「売られている」ではなく「売れる」という意味。

ポイント：
sell は「売る」だけでなく、「売れる」という意味でも使います。
例：This book sells well.
この本はよく売れる。

"
12,"#12  
thatの省略
","関係代名詞 that を省略できるのは、that が関係詞節の「目的語」のときです。
This is the book that I bought.
この that は bought の目的語です。I bought the book. なので、that は省略可能。
This is the book I bought. も正しい。
でも、今回の that は主語です。
a shelf that accommodates the materials
＝the shelf accommodates the materials
that が accommodates の主語なので、省略不可です。
要するに、
目的語の that は省略できる：the book that I bought → the book I bought
主語の that は省略できない：a shelf that accommodates them → a shelf accommodates them は不可
"
13,"#13  
It causes minimal traffic problems.

このミニマルの代わりにミニマムは使えるか。
","普通は使いません。この文では minimal が自然です。
It causes minimal traffic problems.
それは交通問題をほとんど引き起こさない。
minimal は「ごくわずかな、最小限の」という形容詞で、実際の影響・被害・問題が少ないことを表します。traffic problems のような「問題・影響・損害」には minimal がよく合います。
minimum も形容詞として使えますが、意味は「規定上・数値上の最低限の」です。
例：
the minimum age
最低年齢
the minimum wage
最低賃金
the minimum requirement
最低要件
だから、
minimum traffic problems
と言うと不自然です。「交通問題の最低数」というように、数値の下限を言っている感じになります。
まとめると、
minimal problems＝問題がごく少ない
minimum requirements＝最低要件
minimum amount＝最低量
minimum age＝最低年齢
この文では minimal が正解です。
"
14,"#14  
fast-paced environment
","fast-paced environment

意味：展開が速い職場・状況、忙しくて変化の速い環境。求人やTOEICでよく出ます。

分解：
fast-paced＝ペースが速い、進行が速い
environment＝環境、職場環境、状況

例：
We are looking for someone who can work in a fast-paced environment.
変化が速く忙しい職場で働ける人を探しています。

語源：
fast は古英語 f?st（フェスト）「しっかりした、固定された」から。そこから「速い」の意味も発達しました。
pace はラテン語 passus（パッスス）「歩み、一歩」から、古フランス語 pas（パ）を通じて英語へ。
environment はフランス語 environ（アンヴィロン）「周囲に」から。en-（アン）「中に」＋ viron（ヴィロン）「回り、円」に関係します。

同じ語源の英語：
fast と同系：fasten「固定する」、steadfast「不動の、確固とした」
pace と同系：pass「通る」、passage「通路、通過」、passenger「乗客」
environment と同系：environ「取り囲む」、environmental「環境の」、environs「周辺地域」
"
15,"#15  
The new albums by Tom Brown were piled on the display table while 〇〇 of his works were placed on the shelves.

a. others
b. ones 
c. those
d. all
","正解：a. others

The new albums by Tom Brown were piled on the display table while others of his works were placed on the shelves.

意味：
トム・ブラウンの新しいアルバムは展示台に積まれており、一方で、彼の他の作品は棚に置かれていた。

ポイント：
others of his works = his other works = 彼の他の作品

この文では、Tom Brown の作品全体のうち、「新しいアルバム」は展示台にあり、「それ以外の作品」は棚にあった、という対比です。while はここでは「一方で」。

なぜ others か：
others は「他のもの」という代名詞です。ここでは others of his works で「彼の作品のうち他のもの」という意味になります。

b. ones はダメ：
ones of his works とは普通言いません。ones は前に出た可算名詞の反復を避ける語ですが、of his works とは相性が悪いです。

c. those はダメ：
those of his works だと「彼の作品のうちそれら」という形になり、不自然です。those works なら可能ですが、those of his works はこの文では合いません。

d. all はダメ：
all of his works だと「彼の作品すべて」になります。しかし前半で new albums が展示台に置かれているので、後半で「すべての作品が棚に置かれた」とすると矛盾します。

覚え方：
some / others
あるものは?、他のものは?

例：
Some products are displayed near the entrance, while others are kept in the storage room.
いくつかの商品は入口近くに展示されており、一方で他の商品は倉庫に保管されている。
"
16,"#16  
as with（アズ・ウィズ）
","意味：
「～の場合と同様に」「～と同じように」「～についても同様に」

使い方：
As with A, B ...
＝Aの場合と同様に、Bも...
"
17,"#17  
Now that ...
","Now that ...（ナウ・ザット）

意味：
「今や～なので」「～したからには」「～である以上」

理由を表す接続詞です。because に近いですが、now that は「状況が変わって、今はこうなったので」という感じが強いです。

例：
Now that the rain has stopped, we can go outside.
雨がやんだので、外に出られる。

Now that you are here, we can start the meeting.
あなたが来たので、会議を始められる。

Now that I understand the rule, the problem seems easy.
ルールが分かったので、その問題は簡単に見える。

Now that he has resigned, the company needs a new manager.
彼が辞任したので、会社は新しい管理者を必要としている。

because との違い：
Because I was tired, I went home.
疲れていたので帰った。
Now that I am tired, I should go home.
今は疲れているので、帰ったほうがよい。

now that は「今そういう状態になったから」という感じです。

語源：
"
18,"#18  
in that
","in that（イン・ザット）

意味：
「～という点で」「～であるという理由で」

because に少し近いですが、in that は「理由全部」ではなく、「その点において」という限定した理由を表します。

例：
This plan is useful in that it saves time.
この計画は、時間を節約できるという点で有用です。
"
19,"#19  
despite と although
","despite と although の違いは、「品詞」と「後ろに来る形」です。

despite（ディスパイト）
意味：～にもかかわらず
品詞：前置詞
後ろ：名詞、名詞句、動名詞

although（オールゾウ）
意味：～だけれども、～にもかかわらず
品詞：接続詞
後ろ：主語＋動詞の文

"
20,"#20  
on behalf of
","on behalf of

意味：?を代表して、?の代理で、?のために。

主な使い方は2つあります。

?を代表して
例：On behalf of the company, I would like to apologize.
会社を代表して、おわび申し上げます。
?のために、?の利益のために
例：She spoke on behalf of the children.
彼女は子どもたちのために発言した。

語源：behalf は、中英語の bihalve / behalf（ビハルヴ／ビハーフ＝側、味方、利益）から来ています。be-（ビ＝近くに、そばに）＋ half（ハーフ＝側、半分）で、「誰かの側に立って」という感じです。
"
21,"#21  
with expertise in ～
","with expertise in ～

意味：～に専門知識・専門能力を持つ、～を専門とする
"
22,"#22  
intact
","intact（インタクト）

意味：無傷の、壊れていない、完全なままの、手つかずの。

ラテン語 intactus（インタクトゥス）＝触れられていない、損なわれていない、に由来します。
in（イン）＝否定、～でない
tactus（タクトゥス）＝触れられた
tangere（タンゲレ）＝触れる

つまり intact は「触れられていない」→「損なわれていない」→「無傷の、完全なままの」という意味です。

同じ語源の英語：
touch「触れる」
tangent「接線、接するもの」
tangible「触れることができる、有形の」
contact「接触」
contagious「接触でうつる、伝染性の」
tactile「触覚の」
tact「機転、如才なさ」
"
23,"#23  
in correspondence with ～
","in correspondence with ～

意味：～と一致して、～に対応して、～と連絡を取り合って

語源：
correspondence（コレスポンデンス）は correspond（コレスポンド）から来ています。
correspond はラテン語 correspondere（コレスポンデーレ）＝互いに応答する、対応する、に由来し
"
24,"#24  
strive to + 動詞の原形
","意味：～しようと懸命に努力する、～するよう努める
"
25,"#25  
Given + 名詞

Given that + 文
","Given + 名詞
意味：～を考慮すると、～を前提とすると

Given that + 文
意味：～ということを考えると、～であることを前提にすると
"
26,"#26  
other と the other 
","３つ以上、２つ
"
27,"#27  
have yet to + 動詞の原形
","have yet to + 動詞の原形

意味：
まだ?していない。
まだ?するに至っていない。

例：
We have yet to receive the report.
私たちはまだその報告書を受け取っていない。

The company has yet to announce the results.
その会社はまだ結果を発表していない。

The problem has yet to be resolved.
その問題はまだ解決されていない。

ポイント：
have yet to do は、意味としては have not done yet に近いです。ただし、have yet to do のほうが少し硬く、ビジネス文書・ニュース・TOEIC向きです。

比較：
We have not received the report yet.
私たちはまだ報告書を受け取っていない。

We have yet to receive the report.
私たちはまだ報告書を受け取っていない。
少しフォーマルで、「受け取るべきだが、まだ受け取っていない」という感じが出ます。

TOEICで重要な形：
have yet to announce
まだ発表していない

have yet to receive
まだ受け取っていない

have yet to decide
まだ決定していない

have yet to complete
まだ完了していない

have yet to be determined
まだ決定されていない

have yet to be finalized
まだ確定されていない

語源：
yet は古英語 g?et / g?t（イェート）「まだ、これまでに」から来ています。

have yet to do は、
have「持っている」
＋ yet「まだ」
＋ to do「すること」
という形で、「まだこれからすることを残している」→「まだ?していない」という意味になります。

注意：
have yet to の後ろは必ず動詞の原形です。

正：
The manager has yet to approve the request.

誤：
The manager has yet approved the request.
この形は不可です。
"
28,"#28  
in monthly installments
","意味：月賦で、毎月分割払いで
"
29,"#29  
inaugural
","意味：初の、最初の、就任の、開始を記念する。

in（イン）＝中へ、～に向けて
augur（アウグル）＝古代ローマの鳥占い師、神意を読む祭司

古代ローマでは、重要な役職に就く前に augur が鳥の飛び方などで神意を占いました。そこから「正式に役職に就く」「正式に始める」という意味になりました。

同じ語源の英語：
inaugurate「就任させる、開始する」
inauguration「就任式、開始」
inaugural「就任の、初の」
augur「占う、予兆となる」
augury「前兆、占い」
"
30,"#30  
in terms of ～
","in terms of ～

意味：
～の点で、～に関して、～という観点から見ると。

例：
In terms of price, this hotel is reasonable.
価格の点では、このホテルは手ごろです。

In terms of quality, the new model is better.
品質の点では、新しいモデルのほうが良いです。

In terms of convenience, this location is ideal.
利便性の点では、この場所は理想的です。

TOEICでよく出る使い方：
in terms of cost
費用の面で

in terms of efficiency
効率の面で

in terms of performance
性能の面で

in terms of customer satisfaction
顧客満足度の面で

言い換え：
regarding ～
～に関して

with regard to ～
～に関して

from the viewpoint of ～
～の観点から

注意：
in terms of は便利ですが、やや硬めです。会話では about ～ や regarding ～ のほうが簡単です。

語源：
term はラテン語 terminus（テルミヌス）「境界、限界、終点、定められた範囲」から来ています。
そこから term は「範囲を定めた言葉」「専門用語」「条件」「期間」という意味になりました。

in terms of は直訳すると「～という用語・条件・範囲において」→「～の観点で、～の面で」という意味です。

同じ語源の英語：
term：用語、期間、条件
terminal：終点の、端末
terminate：終わらせる
determine：決定する
interminable：終わりのない
terminology：専門用語
midterm：中間の、中間試験
"
31,"#31  
comparable to ～
","comparable to ～

意味：
～に匹敵する、～と同等の、～と比較できる。

例：
This product is comparable to the leading brand.
この製品はトップブランドに匹敵します。

The hotel’s service is comparable to that of a five-star hotel.
そのホテルのサービスは五つ星ホテルのサービスに匹敵します。

The results are comparable to last year’s figures.
その結果は昨年の数値と比較できます。

ポイント：
comparable to ～ は、「～と同じくらいの水準で比べられる」「～に匹敵する」という意味です。TOEICでは、品質・価格・性能・結果・サービスなどの比較でよく出ます。

比較：
comparable to ～
～に匹敵する、～と同等の
This model is comparable to more expensive ones.
このモデルは、もっと高い機種に匹敵する。

compared to / with ～
～と比べて
Compared to last year, sales increased.
昨年と比べて、売上は増えた。

語源：
comparable は compare から来ています。
compare はラテン語 comparare（コンパラーレ）「同じように準備する、比べる」から来ています。
com-（コン）「一緒に」
＋ parare（パラーレ）「準備する、整える」
です。

同じ語源の英語：
compare：比較する
comparison：比較
comparable：比較できる、匹敵する
comparative：比較の
comparatively：比較的
prepare：準備する
repair：修理する、整える
separate：分ける
"
