ID,問題,答え
1,"DJ-FEsec
メッセージ認証符号とは 
","MAC　Message Authentication Code
"
2,"DJ-FEsec

コンピュータやネットワークのセキュリティ上の脆弱性を発見するために,システムを実際 に攻撃して侵入を試みる手法はどれか。

　ア　ウォークスルー

　イ　ソフトウェアインスペクション

　ウ　ペネトレーションテスト

　エ　リグレッションテスト
","【正解】　ペネトレーションテスト

ア　“ウォークスルー”　ウォークスルーは、開発者が主体となりエラーの早期発見を目的としてプログラムのステップごとにシミュレーションを行いながら確認をしていくレビュー手法です。

イ　“ソフトウェアインスペクション”　ソフトウェアインスペクションは、ソフトウェアを実際に動かすことなく、 仕様書やプ ログラムを人間の目で見て検証するレビュー手法です。

ウ　“ペネトレーションテスト”　正しい。

エ　“リグレッションテスト”　リグレッションテストは、 退行テスト/回帰テストとも呼ばれ、システムに変更作業を 実施した場合に、それによって以前まで正常に機能していた部分に不具合や影響が出て いないかを検証するテストです。
"
3,"DJ-FEsec

リバースブルートフォース攻撃に該当するものはどれか。

ア　攻撃者が何らかの方法で事前に入手した利用者IDとパスワードの組みのリストを使用して, ログインを試行する。

イ　パスワードを一つ選び,利用者IDとして次々に文字列を用意して総当たりにログイ　ンを試行する。

ウ　利用者ID, 及びその利用者IDと同一の文字列であるパスワードの組みを次々に生成してログインを試行する。

エ　利用者IDを一つ選び, パスワードとして次々に文字列を用意して総当たりにログイ　ンを試行する。
","【正解】　イ
“あなたの解答:ウ”

リバースブルートフォース攻撃は、 ブルートフォース攻撃が攻撃対象IDを固定してパスワー ドを総当たりで試すのとは逆に、パスワードを1つに固定し、利用者IDを総当りで試してい くことで不正ログインを試みるパスワードクラック手法です。設定できるパスワード種が (数字4桁などのように)非常に少ないシステムに対しては、 通常のブルートフォースよりも 効率的に認証を突破できます。 よく使用される安易なパスワード (1234qwer admin な ど)を使用していると、この攻撃の被害を受けやすくなります。 また、 様々な利用者IDを 次々と試すので、一般的なアカウントロックの仕組みでは防御しにくいという性質を持ちま
す。
"
4,"DJ-FEsec

ステガノグラフィはどれか。

ア　画像などのデータの中に, 秘密にしたい情報を他者に気付かれることなく埋め込む。

イ　検索エンジンの巡回ロボットにWebページの閲覧者とは異なる内容を応答し,該当 Webページの検索順位が上位に来るようにする。

ウ　検査対象の製品に、問題を引き起こしそうなJPEG画像などのテストデータを送信し 読み込ませて, 製品の応答や挙動から脆弱性を検出する。

エ　コンピュータには認識できないほどゆがんだ文字を画像として表示し,利用者に文字 を認識させて入力させることによって,利用者が人であることを確認する。
","【正解】　ア

ステガノグラフィ (Steganography) とは、 音声や画像などのデータの中に、 別のデータ(多 くの場合、文字列データ)を秘密裏に埋め込む技術や考え方のことです。デジタルデータの 世界では著作物に著作者名や利用者の情報などを埋め込む「電子透かし技術」として応用されています。

ア　正しい。ステガノグラフィの説明です。

イ　クローキングの説明です。

ウ　“検査対象の製品に,問題を引き起こしそうなJPEG画像などのテストデータを送信し読み込ませ 製品の応答や挙

エ　CAPTCHA
"
5,"DJ-FEsec

ファジングはどれ？

ア　“サーバにFINパケットを送信し,サーバからの応答を観測して,稼働しているサービスを見つけ 出す。 ”

イ　“サーバのOSやアプリケーションソフトウェアが生成したログやコマンド履歴などを解析して, ファイルサーバに保存されているファイルの改ざんを検知する。

ウ　“ソフトウェアに,問題を引き起こしそうな多様なデータを入力し,挙動を監視して,脆弱性を 見つけ出す。”

エ　“ネットワーク上を流れるパケットを収集し,そのプロトコルヘッダーやペイロードを解析し て,あらかじめ登録された攻撃パターンと一致した場合は不正アクセスと判断する。'

","【正解】　ウ

ア　ポートスキャンの説明です。

イ　ログ分析の説明です。

ウ　正しい。 ファジングの説明です。

エ　パターンマッチングの説明です。
"
6,"DJ-FEsec

手順に示す電子メールの送受信によって得られるセキュリティ上の効果はどれか。

[手順]
(1) 送信者は,電子メールの本文を共通鍵暗号方式で暗号化し (暗号文), その共通鍵を受信者の公開鍵を用いて公開鍵暗号方式で暗号化する (共通鍵の暗号化データ)。

(2) 送信者は, 暗号文と共通鍵の暗号化データを電子メールで送信する。

(3)受信者は,受信した電子メールから取り出した共通鍵の暗号化データを,自分の秘密鍵 を用いて公開鍵暗号方式で復号し、 得た共通鍵で暗号文を復号する。

ア　送信者による電子メールの送達確認

イ　送信者のなりすましの検出

ウ　電子メールの本文の改ざんの有無の検出

エ　電子メールの本文の内容の漏えいの防止

","【正解】　エ
“あなたの解答:ウ”

設問の手順は、S/MIMEで採用されているハイブリッド暗号方式の流れです。
ハイブリッド暗号方式は、 共通鍵暗号方式と公開鍵暗号方式を組み合わせて暗号化通信を行 う仕組みです。 共通鍵暗号方式は、鍵を通信相手に渡す際に安全性を確保する必要があり、 手間がかかる一方で、暗号化・復号が高速に行えます。一方、公開鍵暗号方式は鍵の配送が 容易ですが、暗号化と復号に多くの計算リソースが必要です。ハイブリッド暗号方式では、 共通鍵を公開鍵暗号方式を用いて安全に相手に配送し、その共通鍵を使って通信内容を暗号 化・復号することで、 安全性と効率性を両立しています。

ア　送達確認を行う仕組みはありません。

イ　送信者のなりすまし検知にはデジタル署名が必要です。 設問の手順は暗号化通信を行うものなので、送信者の認証を行うことはできません。

ウ　　デジタル署名が付加されているわけではないので、改ざんの有無は検知できません。

エ　正しい。本文は共通鍵により暗号化され、復号に使用する共通鍵も公開鍵により暗号化 されています。 暗号化された本文を復号するには共通鍵が必要ですし、 共通鍵を入手す るには受信者の秘密鍵が必要です。このため、 もし盗聴されても通信内容が漏えいする ことはありません。
"
7,"DJ-FEsec

バイオメトリクス認証システムの判定しきい値を変化させるとき, FRR(本人拒否率)と FAR (他人受入率)との関係はどれか。

ア　FRRとFARは独立している。

イ　FRRを減少させると,FARは減少する。

ウ　FRRを減少させると, FARは増大する。

エ　FRRを増大させると, FARは増大する。


","【正解】　ウ　“あなたの解答:ア”

バイオメトリクス認証は、指紋,虹彩,顔など人間の身体的な特徴や行動の特性など個人に 固有の情報を用いて本人の認証を行う方式です。

一般にバイオメトリクス認証システムの精度は、本人拒否率(False Rejection Rate:FRR) と他人受入率(False Acceptance Rate:FAR)の組合せで評価されます。本人拒否率とは、 本人であるにもかかわらず本人ではないと判断されてしまう確率、 他人受入率とは、他人で あるにもかかわらず本人であると誤認してしまう確率です。

本人拒否率と他人受け入れ率は トレードオフの関係にあり、一方を減少させると他方は増大することになります。通常は十 分なセキュリティを確保するため本人拒否率よりも他人受入率が十分に低くなるように設定 されています。

ア　“FRRとFARは独立している。FRRとFARの関係はトレードオフです。
イ“FRRを減少させると,FARは減少する。” FRRを減少させると, FARは増大します。
ウ　“FRRを減少させると, FARは増大する。” 正しい。
エ　“FRRを増大させると,FARは増大する。"" FRRを増大させると, FARは減少します。

"
8,"DJ-FEsec

図のような構成と通信サービスのシステムにおいて, Webアプリケーションの脆弱性対策の ためのWAFの設置場所として,最も適切な箇所はどこか。ここで,WAFには通信を暗号化 したり,復号したりする機能はないものとする。

インターネット
　HTTPS a
ファイアウォール
　HTTPS b
SSLアクセラレータ
　HTTP c
Webサーバ
　データベースアクセス用サービス d
データベースサーバ

","【正解】　ウ
“あなたの解答:イ”　← SSLアクセラレータで復号しているのよ。よく考えればここで暗号化するわけない！

WAF(Web Application Firewall)は、通過するパケットのIPアドレスやポート番号だけでな くペイロード部(データ部分)をチェックすることで、Webアプリケーションに対するこれら の攻撃を検知し、遮断することが可能なファイアウォールです。

WAFは、""シグネチャ(パターン)マッチング""や""HTTPヘッダーの検証""などによって不正な パケットを検知しますが、HTTPS通信が行われている経路上のパケットは暗号化されてお りペイロード部分を見ることができないため、これらの検知手法が使えません。つまり、H TTPSで通信が行われている「a」と「b」は設置場所として不適切です。
そして、WAFによる不正アクセスの検知・遮断は、Webアプリケーションによって処理が 実行される前に行われる必要があるので「d」は不適切です。

したがって適切な設置場所は「c」しかありません。

SSLアクセラレータ
SSL/TLS通信におけるパケットの暗号化と復号を高速に行う専用の機器。 Webサーバの 処理負荷を軽減する目的で設置される。
"
9,"DJ-FEsec

PCのコンピュータウイルスに関する記述のうち,適切なものはどれか。

ア　ウイルスの潜伏しているプログラムファイルがコンピュータ内に存在している場合で あっても,コンピュータ利用者が意図的にファイルを起動しない限りほかのシステム に伝染しない。

イ　ウイルスは,主記憶装置を物理的に破壊したり,コンピュータ利用者の意図しない動 作を引き起こしたりする。
ウ　ウイルスを検出・駆除するためのエンジンや定義ファイルなどが、最新のものに更新 されているコンピュータでは感染しない。

エ　駆除作業では,ウイルスに感染していないOS起動ディスクを使用することによっ て,ブートセクタからの伝染を回避することができる。
","【正解】　エ　　← ハードウェアの物理的な破壊は行いません。 
“あなたの解答:イ”　

解説
ア　ウィルスの中にはワームのように自分でネットワークに接続して増殖するようにプログ ラムされているものもあります。

イ　ハードウェアの物理的な破壊は行いません。 不正なプログラムによって論理的な破壊活 動を行います。

ウ　感染のリスクが低くはなりますが、 未知のウィルスに感染するリスクなどがあるため感 染確率をゼロにすることはできません。

エ　正しい。
"
10,"DJ-FEsec

リスクアセスメントの4段階
","はい、リスクアセスメントの4段階は一般的に「特定」「分析」「評価」「対応」と呼ばれています。内容は以下の通りです。

特定
　- 対象となるリスクや危険性を洗い出して認識します。関係者からのヒアリングや過去の事例などを活用し、多くのリスクを漏れなく特定します。

分析
　- 特定したリスクの発生頻度や発生確率、影響範囲や影響度を数値化や分類で分析します。リスクマトリクスやスコアリングで視覚化し、リスクの優先度を整理します。

評価
　- 分析結果をもとに、許容可能なリスクか対応が必要なリスクかを判断し、優先順位をつけます。関係者と共有し、対策の方向性を決定します。

対応
　- 「回避」「軽減」「移転」「容認」などの方法でリスクへの具体的な対応策を検討し、実行します。
"
11,"DJ-FEsec

リスクアセスメントに関する記述のうち,適切なものはどれか。

ア　以前に洗い出された全てのリスクへの対応が完了する前にリスクアセスメントを実施することは避ける。

イ　将来の損失を防ぐことがリスクアセスメントの目的なので,過去のリスクアセスメン トで利用されたデータを参照することは避ける。

ウ　損失額と発生確率の予測に基づくリスクの大きさに従うなどの方法で,対応の優先順位を付ける。

エ　リスクアセスメントはリスクが顕在化してから実施し、損失額に応じて対応の予算を 決定する。
","【正解】　ウ

発見されたリスクのすべてに対策を行うことは現実的ではないので、通常はリスクに優先順 位をつけて対応を行います。 リスクが顕在化した場合の損害額と、そのリスクが発生する確 率を勘案して優先度の根拠となるリスクレベルの決定を行うのがリスク分析です。

ア　リスクアセスメントは組織内のリスクに変化が生じたときや、定期的に実施します。

イ　過去のデータが蓄積されている場合には、それを活用することで有効なリスクアセスメ ントにすることができます。

ウ　正しい。

エ　リスクアセスメントは組織に潜在しているリスクを把握し、リスクを最適化するために 実施されます。
"
